Layers, learning_rate, training_epochs, training_performance, test_performance, MSE_of_guessing_the_mean_always
"[27, 50, 100, 50, 75, 50, 35, 25, 1]",0.001,50,0.032506324,0.034241974,0.03555387959152568
"[27, 50, 100, 50, 75, 50, 35, 25, 1]",0.001,50,0.033032697,0.03965524,0.03555387959152568
"[27, 76, 82, 56, 46, 75, 22, 54, 1]",0.001,50,0.032449532,0.034143735,0.03555387959152568
"[27, 54, 28, 87, 50, 33, 96, 20, 1]",0.001,50,0.031290215,0.040245827,0.03555387959152568
"[27, 22, 98, 62, 59, 31, 60, 47, 1]",0.001,50,0.032666292,0.043173213,0.03555387959152568
"[27, 33, 97, 75, 77, 96, 24, 30, 1]",0.001,50,0.030589193,0.037250258,0.03555387959152568
"[27, 69, 36, 21, 65, 63, 82, 95, 1]",0.001,50,0.034507,0.029356366,0.03555387959152568
"[27, 48, 52, 34, 75, 83, 56, 20, 1]",0.001,50,0.034811225,0.029183244,0.03555387959152568
"[27, 77, 40, 81, 91, 84, 29, 72, 1]",0.001,50,0.032210145,0.033763938,0.03555387959152568
"[27, 83, 75, 85, 32, 66, 95, 65, 1]",0.001,50,0.033494256,0.031164607,0.03555387959152568
"[27, 54, 78, 42, 53, 53, 74, 76, 1]",0.001,50,0.035003424,0.04163925,0.03555387959152568
"[27, 83, 74, 49, 95, 21, 30, 77, 1]",0.001,50,0.03261152,0.038473513,0.03555387959152568
"[27, 67, 43, 94, 55, 95, 48, 43, 1]",0.001,50,0.032717954,0.033721082,0.03555387959152568
"[27, 41, 21, 67, 98, 54, 94, 59, 1]",0.001,47,0.032126512,0.037738718,0.03555387959152568
"[27, 60, 72, 23, 44, 80, 85, 86, 1]",0.001,36,0.03370622,0.03885698,0.03555387959152568
"[27, 46, 41, 70, 41, 46, 67, 23, 1]",0.001,35,0.03348186,0.03703567,0.03555387959152568
"[27, 57, 91, 29, 41, 83, 93, 77, 1]",0.001,72,0.026975883,0.03508786,0.03555387959152568
"[27, 51, 97, 64, 70, 54, 71, 87, 1]",0.001,39,0.032161433,0.037955794,0.03555387959152568
