Layers, learning_rate, training_epochs, training_performance, test_performance, MSE_of_guessing_the_mean_always
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.005973711480490035,0.05811847746372223,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.00870032647314171,0.0600127037614584,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.007903497769600816,0.04502477869391441,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.006231664667009479,0.06902213394641876,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.011398383157534732,0.06302165426313877,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.00750542561420136,0.04359027370810509,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.008490209183138277,0.058874547481536865,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.006988902912578649,0.060955604538321495,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.004891513484633631,0.08165935426950455,0.03555387959152568
"[31, 70, 71, 71, 52, 58, 52, 40, 1]",0.001,50,0.010154142329055402,0.05762551724910736,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.01383063481706712,0.09035418182611465,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.013488184971114,0.05402526073157787,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.015606945277088217,0.04735243134200573,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.008710701354882784,0.05688087455928326,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.013442468389661776,0.06222199834883213,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.011248334103988277,0.0684603899717331,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.021788821348713502,0.048412956297397614,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.00909741716976795,0.07815032079815865,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.012844077570156919,0.04682527109980583,0.03555387959152568
"[31, 22, 85, 58, 34, 83, 93, 42, 1]",0.001,50,0.016503741550776694,0.04665803164243698,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.037381197636326156,0.03680199757218361,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.03629959892067644,0.040962547063827515,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.038339745046363935,0.029161322861909866,0.03555387959152568
