Date,Home,BP,seasonal_dk_points_avg,total_dk_points_avg,last_game_dk_score,avg_last_5_games_dk_score,pitcher data 1,pitcher data 2,pitcher data 3,pitcher data 4,pitcher data 5,pitcher data 6,pitcher data 7,pitcher data 8,pitcher data 9,pitcher data 10,pitcher data 11,pitcher data 12,pitcher data 13,pitcher data 14,pitcher data 15,pitcher data 16,pitcher data 17,pitcher data 18,pitcher data 19,pitcher data 20,pitcher data 21,pitcher data 22,pitcher data 23,pitcher data 24,Draftkings Score
 7- 8-2011,1,9,0,0,0,0,0.8333333333333334,15,15,0,0,0,291,106,46,13,15,42,0.278,4.27,0,4,3,0,405,0,46,1,5,6,0
 7- 9-2011,1,9,0.0,0.0,0,0.0,0.9,28,28,0,0,0,513,133,71,18,55,173,0.211,3.74,1,9,5,0,696,0,76,4,3,5,9
 7-10-2011,1,9,4.5,4.5,9,4.5,1.0,33,33,5,0,0,701,218,90,19,67,222,0.248,3.47,0,12,7,1,964,0,99,3,7,25,0
 7-15-2011,0,9,3.0,3.0,0,3.0,1.0,25,25,5,1,0,512,168,63,11,25,123,0.258,3.32,1,3,0,0,690,0,73,4,9,16,5
 7-16-2011,0,9,3.5,3.5,5,3.5,0.8571428571428571,34,34,0,0,0,623,214,96,19,82,147,0.269,4.16,1,15,8,0,901,0,102,8,6,17,0
 7-16-2011,0,9,2.8,2.8,0,2.8,1.0,15,15,0,0,0,248,87,47,17,31,91,0.267,5.12,0,4,2,0,363,0,48,1,3,2,7
 7-17-2011,0,9,3.5,3.5,7,4.2,1.3333333333333333,32,32,0,0,0,606,175,70,17,91,197,0.23,3.12,1,6,8,1,864,0,81,3,2,18,0
 7-20-2011,1,9,3.0,3.0,0,2.4,3.2,32,32,4,4,0,594,201,87,22,67,162,0.262,3.95,1,2,6,1,843,0,97,1,3,20,9
 7-21-2011,1,8,3.75,3.75,9,4.2,2.2857142857142856,34,34,3,1,0,670,191,73,16,74,206,0.232,2.94,0,6,10,0,915,0,89,3,5,31,0
 7-22-2011,0,8,3.3333333333333335,3.3333333333333335,0,3.2,0.4444444444444444,23,16,0,0,0,347,128,63,15,40,83,0.284,4.9,6,2,4,2,499,1,69,1,4,12,17
